seed,model,group,correct,count,rate
1,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:all,10,10,1.0
1,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
1,trivial-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,6,6,1.0
1,trivial-f3-mcfg,fault:drop-product-server-occurrence:all,10,10,1.0
1,trivial-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
1,trivial-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,6,6,1.0
1,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,14,14,1.0
1,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
1,trivial-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,6,6,1.0
1,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:all,14,14,1.0
1,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
1,trivial-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,6,6,1.0
1,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,14,14,1.0
1,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
1,trivial-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
1,full-product-f3-mcfg,normal-all,8,14,0.5714285714285714
1,full-product-f3-mcfg,normal-seen-size,8,8,1.0
1,full-product-f3-mcfg,normal-unseen-size,0,6,0.0
1,full-product-f3-mcfg,fault:currency-server-phase-inversion:all,14,14,1.0
1,full-product-f3-mcfg,fault:currency-server-phase-inversion:seen-size,8,8,1.0
1,full-product-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
1,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:all,10,10,1.0
1,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
1,full-product-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,6,6,1.0
1,full-product-f3-mcfg,fault:drop-product-server-occurrence:all,10,10,1.0
1,full-product-f3-mcfg,fault:drop-product-server-occurrence:seen-size,4,4,1.0
1,full-product-f3-mcfg,fault:drop-product-server-occurrence:unseen-size,6,6,1.0
1,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:all,14,14,1.0
1,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
1,full-product-f3-mcfg,fault:duplicate-product-currency-server-occurrence:unseen-size,6,6,1.0
1,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:all,14,14,1.0
1,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
1,full-product-f3-mcfg,fault:duplicate-product-server-occurrence:unseen-size,6,6,1.0
1,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:all,14,14,1.0
1,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
1,full-product-f3-mcfg,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
1,exact-template,normal-all,8,14,0.5714285714285714
1,exact-template,normal-seen-size,8,8,1.0
1,exact-template,normal-unseen-size,0,6,0.0
1,exact-template,fault:currency-server-phase-inversion:all,14,14,1.0
1,exact-template,fault:currency-server-phase-inversion:seen-size,8,8,1.0
1,exact-template,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
1,exact-template,fault:drop-product-currency-server-occurrence:all,10,10,1.0
1,exact-template,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
1,exact-template,fault:drop-product-currency-server-occurrence:unseen-size,6,6,1.0
1,exact-template,fault:drop-product-server-occurrence:all,10,10,1.0
1,exact-template,fault:drop-product-server-occurrence:seen-size,4,4,1.0
1,exact-template,fault:drop-product-server-occurrence:unseen-size,6,6,1.0
1,exact-template,fault:duplicate-product-currency-server-occurrence:all,14,14,1.0
1,exact-template,fault:duplicate-product-currency-server-occurrence:seen-size,8,8,1.0
1,exact-template,fault:duplicate-product-currency-server-occurrence:unseen-size,6,6,1.0
1,exact-template,fault:duplicate-product-server-occurrence:all,14,14,1.0
1,exact-template,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
1,exact-template,fault:duplicate-product-server-occurrence:unseen-size,6,6,1.0
1,exact-template,fault:duplicate-shipping-currency-server-occurrence:all,14,14,1.0
1,exact-template,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
1,exact-template,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
1,2-gram,normal-all,12,14,0.8571428571428571
1,2-gram,normal-seen-size,8,8,1.0
1,2-gram,normal-unseen-size,4,6,0.6666666666666666
1,2-gram,fault:currency-server-phase-inversion:all,14,14,1.0
1,2-gram,fault:currency-server-phase-inversion:seen-size,8,8,1.0
1,2-gram,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
1,2-gram,fault:drop-product-currency-server-occurrence:all,2,10,0.2
1,2-gram,fault:drop-product-currency-server-occurrence:seen-size,0,4,0.0
1,2-gram,fault:drop-product-currency-server-occurrence:unseen-size,2,6,0.3333333333333333
1,2-gram,fault:drop-product-server-occurrence:all,2,10,0.2
1,2-gram,fault:drop-product-server-occurrence:seen-size,0,4,0.0
1,2-gram,fault:drop-product-server-occurrence:unseen-size,2,6,0.3333333333333333
1,2-gram,fault:duplicate-product-currency-server-occurrence:all,2,14,0.14285714285714285
1,2-gram,fault:duplicate-product-currency-server-occurrence:seen-size,0,8,0.0
1,2-gram,fault:duplicate-product-currency-server-occurrence:unseen-size,2,6,0.3333333333333333
1,2-gram,fault:duplicate-product-server-occurrence:all,2,14,0.14285714285714285
1,2-gram,fault:duplicate-product-server-occurrence:seen-size,0,8,0.0
1,2-gram,fault:duplicate-product-server-occurrence:unseen-size,2,6,0.3333333333333333
1,2-gram,fault:duplicate-shipping-currency-server-occurrence:all,6,14,0.42857142857142855
1,2-gram,fault:duplicate-shipping-currency-server-occurrence:seen-size,0,8,0.0
1,2-gram,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
1,3-gram,normal-all,12,14,0.8571428571428571
1,3-gram,normal-seen-size,8,8,1.0
1,3-gram,normal-unseen-size,4,6,0.6666666666666666
1,3-gram,fault:currency-server-phase-inversion:all,14,14,1.0
1,3-gram,fault:currency-server-phase-inversion:seen-size,8,8,1.0
1,3-gram,fault:currency-server-phase-inversion:unseen-size,6,6,1.0
1,3-gram,fault:drop-product-currency-server-occurrence:all,2,10,0.2
1,3-gram,fault:drop-product-currency-server-occurrence:seen-size,0,4,0.0
1,3-gram,fault:drop-product-currency-server-occurrence:unseen-size,2,6,0.3333333333333333
1,3-gram,fault:drop-product-server-occurrence:all,2,10,0.2
1,3-gram,fault:drop-product-server-occurrence:seen-size,0,4,0.0
1,3-gram,fault:drop-product-server-occurrence:unseen-size,2,6,0.3333333333333333
1,3-gram,fault:duplicate-product-currency-server-occurrence:all,2,14,0.14285714285714285
1,3-gram,fault:duplicate-product-currency-server-occurrence:seen-size,0,8,0.0
1,3-gram,fault:duplicate-product-currency-server-occurrence:unseen-size,2,6,0.3333333333333333
1,3-gram,fault:duplicate-product-server-occurrence:all,2,14,0.14285714285714285
1,3-gram,fault:duplicate-product-server-occurrence:seen-size,0,8,0.0
1,3-gram,fault:duplicate-product-server-occurrence:unseen-size,2,6,0.3333333333333333
1,3-gram,fault:duplicate-shipping-currency-server-occurrence:all,6,14,0.42857142857142855
1,3-gram,fault:duplicate-shipping-currency-server-occurrence:seen-size,0,8,0.0
1,3-gram,fault:duplicate-shipping-currency-server-occurrence:unseen-size,6,6,1.0
2,adaptive-f3-mcfg,normal-all,20,20,1.0
2,adaptive-f3-mcfg,normal-seen-size,8,8,1.0
2,adaptive-f3-mcfg,normal-unseen-size,12,12,1.0
2,adaptive-f3-mcfg,fault:currency-server-phase-inversion:all,20,20,1.0
2,adaptive-f3-mcfg,fault:currency-server-phase-inversion:seen-size,8,8,1.0
2,adaptive-f3-mcfg,fault:currency-server-phase-inversion:unseen-size,12,12,1.0
2,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:all,16,16,1.0
2,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:seen-size,4,4,1.0
2,adaptive-f3-mcfg,fault:drop-product-currency-server-occurrence:unseen-size,12,12,1.0
